ReviewID,Date,YearMonth,Platform,Company,AppName,Language,Rating,Sentiment,Review,Review_EN
1,2026-06-13 19:05:47,2026-06,Android,Plus500,Plus500,ar,5,Positive,????,Good
"2,2026-06-10 04:33:45,2026-06,Android,Plus500,Plus500,ar,5,Positive,?????? ????? ???? ???????,""Free Robux, you can imagine"""
3,2026-06-08 22:56:13,2026-06,Android,Plus500,Plus500,ar,5,Positive,good,good
4,2026-06-08 05:27:11,2026-06,Android,Plus500,Plus500,ar,5,Positive,Good,Good
5,2026-06-07 13:55:25,2026-06,Android,Plus500,Plus500,ar,5,Positive,????,smooth
"6,2026-06-02 02:50:45,2026-06,Android,Plus500,Plus500,ar,1,Negative,?????? ??? ?????? ???? ?? ??? ?????,""A scam program that lost $40,000"""
"7,2026-05-29 22:36:43,2026-05,Android,Plus500,Plus500,ar,5,Positive,??? ?? ????? ?????? ??????? ???? ??? ??????,""I am from Syria and I love trading, it is very sweet and excellent"""
8,2026-05-28 14:54:52,2026-05,Android,Plus500,Plus500,ar,2,Negative,????? ?? ???? ????? ???? ?? ????? ??? ???? ??? ??????,Why can't it be worked on from Syria and it can't even be documented?
"9,2026-05-27 03:26:43,2026-05,Android,Plus500,Plus500,ar,1,Negative,?????? ??? ???? ??? ? ?????? ?? ????? ?? ??????? ???????? ? ???? ?? ???? ???? ?????? ???? ??? ?? ???? ???????? ??? ???? ??? ??? ?????? ?? ???? ??? ???? ??? ???? ???? ??? ???? ?????? ? ??????? ???? ??? ???? ? ????? ?????? ????? ?? ? ?????? ? ?? ?? ????? ??? ????? ?? ?? ?? ?????? ???????? ?? ??? ?????? ? ??? ????? ????,""A very bad scam program that does not work with global markets and there is theft. The team works to make the trader lose. It is not clear. The deal is opened from a place other than the one you wanted to open it from. The deal candles and the numbers are not the same as the website and numbers of the site. There is cheating and fraud, and if this matter is not addressed, those responsible for this platform must be prosecuted and compensation requested from them."""
"10,2026-05-22 23:05:43,2026-05,Android,Plus500,Plus500,ar,5,Positive,????? ???? ????? ???? ??????? ?? ??? ??? ????? ??? ????? ???? ????,""A beautiful and wonderful application that is easy to use, and anything you ask about, you will get a quick response"""
11,2026-05-22 20:05:35,2026-05,Android,Plus500,Plus500,ar,5,Positive,very nice ??,very nice ??
12,2026-05-19 17:11:20,2026-05,Android,Plus500,Plus500,ar,5,Positive,??? ????? ???? ????? ?????? ?? ????? ???? ?????? ???????? ???,It is a beautiful and wonderful application and you can work on it easily. Good luck to you
13,2026-05-13 20:43:55,2026-05,Android,Plus500,Plus500,ar,4,Positive,???????,Mumtanza
14,2026-05-12 13:59:45,2026-05,Android,Plus500,Plus500,ar,5,Positive,???,good
15,2026-05-06 21:06:22,2026-05,Android,Plus500,Plus500,ar,5,Positive,?????? ?? ???????,The best in history
16,2026-05-04 16:27:58,2026-05,Android,Plus500,Plus500,ar,5,Positive,?????,Mumtaz
17,2026-05-02 20:18:51,2026-05,Android,Plus500,Plus500,ar,5,Positive,?????? ?? ??????? ?????? ???????????,I trade quickly and conveniently during my work break
18,2026-04-28 13:12:35,2026-04,Android,Plus500,Plus500,ar,5,Positive,????? ????,Great app
19,2026-04-28 00:22:27,2026-04,Android,Plus500,Plus500,ar,1,Negative,??????? ???? ????,Trading in them is forbidden
"20,2026-04-23 23:08:04,2026-04,Android,Plus500,Plus500,ar,5,Positive,""Honestly, the best security app"",""Honestly, the best security app"""
21,2026-04-15 02:19:13,2026-04,Android,Plus500,Plus500,ar,5,Positive,????,magnificence
